PAPER_NAME,AUTHOR,DATE,TITLE,COUNT
No. 1,HAMILTON,10/27/1787,General Introduction,1616
No. 2,JAY,10/31/1787,Concerning Dangers from Foreign Force and Influence,1672
No. 3,JAY,11/3/1787,The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,1448
No. 4,JAY,11/7/1787,The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,1636
No. 5,JAY,11/10/1787,The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,1347
No. 6,HAMILTON,11/14/1787,Concerning Dangers from Dissensions Between the States,2040
No. 7,HAMILTON,11/15/1787,The Same Subject Continued: Concerning Dangers from Dissensions Between the States,2307
No. 8,HAMILTON,11/20/1787,The Consequences of Hostilities Between the States,2059
No. 9,HAMILTON,11/21/1787,The Union as a Safeguard Against Domestic Faction and Insurrection,1994
No. 10,MADISON,11/22/1787,The Same Subject Continued: The Union as a Safeguard Against Domestic Faction and Insurrection,3004
No. 11,HAMILTON,11/24/1787,The Utility of the Union in Respect to Commercial Relations and a Navy,2503
No. 12,HAMILTON,11/27/1787,The Utility of the Union In Respect to Revenue,2163
No. 13,HAMILTON,11/28/1787,Advantage of the Union in Respect to Economy in Government,967
No. 14,MADISON,11/30/1787,Objections to the Proposed Constitution From Extent of Territory Answered,2146
No. 15,HAMILTON,12/1/1787,The Insufficiency of the Present Confederation to Preserve the Union,3089
No. 16,HAMILTON,12/4/1787,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,2042
No. 17,HAMILTON,12/5/1787,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,1572
No. 18,HAMILTON AND MADISON,12/7/1787,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,2113
No. 19,HAMILTON AND MADISON,12/8/1787,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,2052
No. 20,HAMILTON AND MADISON,12/11/1787,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,1523
No. 21,HAMILTON,12/12/1787,Other Defects of the Present Confederation,2001
No. 22,HAMILTON,12/14/1787,The Same Subject Continued: Other Defects of the Present Confederation,3560
No. 23,HAMILTON,12/18/1787,The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,1805
No. 24,HAMILTON,12/19/1787,The Powers Necessary to the Common Defense Further Considered,2009
No. 25,HAMILTON,12/21/1787,The Same Subject Continued: The Powers Necessary to the Common Defense Further Considered,1991
No. 26,HAMILTON,12/12/1787,The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,2388
No. 27,HAMILTON,12/25/1787,The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,1458
No. 28,HAMILTON,12/26/1787,The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,1607
No. 29,HAMILTON,1/9/1788,Concerning the Militia,2239
No. 30,HAMILTON,12/28/1787,Concerning the General Power of Taxation,1972
