Word,POS
abandon,noun
ability,noun
able,adjective
abolish,noun
abolished,verb_past
abolition,noun
abridge,noun
abridgment,noun
abroad,adverb
absolute,adjective
absolutely,adverb
abstract,adjective
absurd,noun
absurdity,noun
abundant,noun
abuse,noun
abused,verb_past
accidental,adjective
accommodated,verb_past
accommodation,noun
accompanied,verb_past
accomplish,adjective
accomplished,adjective
according,verb
accordingly,adverb
account,noun
accumulation,noun
accuracy,noun
accurate,noun
accusation,noun
accustomed,verb_past
achaean,adjective
acknowledge,noun
acknowledged,verb_past
acquaintance,noun
acquainted,verb_past
acquire,noun
acquired,verb_past
acquisition,noun
act,noun
acting,verb
action,noun
active,adjective
activity,noun
actual,adjective
actually,adverb
actuated,verb_past
adapted,verb_past
add,noun
added,verb_past
addition,noun
additional,adjective
address,noun
addressed,verb_past
adequate,adjective
adherence,noun
adjusted,verb_past
administer,noun
administered,verb_past
administration,noun
admiralty,noun
admissible,adjective
admission,noun
admit,noun
admits,verb
admitted,verb_past
admitting,verb
admonish,adjective
admonition,noun
adopt,noun
adopted,verb_past
adoption,noun
advance,noun
advanced,verb_past
advancement,noun
advantage,noun
adversary,noun
adverse,noun
advert,noun
advice,noun
advocate,noun
affair,noun
affect,noun
affected,verb_past
affecting,verb
affection,noun
affinity,noun
affirm,noun
affirmative,adjective
affirmed,verb_past
afford,noun
afforded,verb_past
affords,noun
afraid,verb_past
age,noun
agency,noun
agent,noun
aggrandizement,noun
aggregate,noun
agitated,verb_past
agree,adjective
agreeable,adjective
agreed,noun
agriculture,noun
aid,noun
aim,noun
aimed,verb_past
alarm,noun
alarming,noun
alien,noun
alienation,noun
alleged,verb_past
alliance,noun
allotted,verb_past
allow,noun
allowed,verb_past
allowing,verb
alluded,verb_past
ally,adverb
alter,adjective
alteration,noun
alternative,noun
altogether,adverb
ambassador,noun
ambition,noun
ambitious,adjective
amendment,noun
america,noun
american,noun
ample,noun
amply,adverb
analogy,noun
anarchy,noun
ancient,noun
animosity,noun
annexed,verb_past
annihilation,noun
annual,adjective
answer,noun
answered,verb_past
answering,verb
antecedent,noun
anticipated,verb_past
apparent,noun
appeal,noun
appear,noun
appearance,noun
appeared,verb_past
appears,noun
applicable,adjective
application,noun
applied,verb_past
applies,noun
apply,adverb
appoint,verb
appointed,verb_past
appointing,verb
appointment,noun
apportionment,noun
apprehend,noun
apprehended,verb_past
apprehension,noun
approbation,noun
appropriated,verb_past
approve,noun
approved,verb_past
apt,noun
arbiter,noun
arbitrary,noun
ardent,noun
arduous,adjective
argue,noun
argument,noun
arise,noun
arises,noun
arising,verb
aristocracy,noun
arm,noun
army,noun
arrangement,noun
arrived,verb_past
art,noun
article,noun
artifice,noun
artificial,noun
ascertain,noun
ascertained,verb_past
ascribed,verb_past
ask,noun
asked,verb_past
aspect,noun
assembled,verb_past
assembly,adverb
assent,adjective
asserted,verb_past
assertion,noun
assigned,verb_past
assistance,noun
associated,verb_past
association,noun
assume,noun
assumption,noun
assurance,noun
athenian,noun
attached,verb_past
attachment,noun
attack,noun
attained,verb_past
attainment,noun
attempt,noun
attempted,verb_past
attend,noun
attended,verb_past
attending,verb
attention,noun
attribute,noun
augmentation,noun
author,noun
authority,noun
authorize,noun
authorized,verb_past
authorizes,noun
auxiliary,adjective
avail,noun
avarice,noun
avoid,verb_past
avoided,verb_past
aware,noun
away,adverb
axiom,noun
bad,adjective
balance,noun
barely,adverb
barrier,adjective
basis,noun
bear,noun
beget,noun
begin,noun
begun,noun
behavior,noun
behold,noun
believe,verb
belong,adjective
belonging,noun
belongs,noun
beneficial,adjective
benefit,noun
best,adjective
bestow,noun
betray,noun
betrayed,verb_past
betraying,verb
better,adjective
bias,noun
bind,verb
binding,verb
birth,adjective
blame,noun
blended,verb_past
blessing,verb
blind,noun
blood,noun
blow,noun
body,noun
bold,noun
border,noun
bound,noun
boundary,noun
branch,noun
breach,noun
break,noun
breast,noun
bring,verb
britain,noun
british,noun
brother,noun
brought,verb_past
building,noun
bulwark,noun
burden,noun
burdensome,noun
business,noun
cabal,noun
calamity,noun
calculated,verb_past
calculation,noun
called,verb_past
candid,noun
candor,noun
capable,adjective
capacity,noun
capital,noun
care,noun
career,noun
careful,noun
carefully,adverb
carolina,noun
carried,verb_past
carry,noun
carrying,verb
case,noun
cast,noun
casualty,noun
cause,noun
caution,noun
cease,noun
celebrated,verb_past
censure,noun
census,noun
centre,noun
century,noun
certain,adjective
certainly,adverb
certainty,noun
chain,noun
chance,noun
chancellor,noun
change,noun
channel,noun
character,noun
characteristic,adjective
charge,noun
chargeable,adjective
charged,adjective
charles,noun
check,verb
chief,adjective
chiefly,adverb
chimerical,adjective
choice,noun
choose,noun
chosen,noun
circle,noun
circulation,noun
circumscribed,verb_past
circumspection,noun
circumstance,noun
cited,verb_past
citizen,verb_past
city,noun
civil,noun
claim,noun
claimed,verb_past
clamor,noun
clashing,noun
class,noun
clause,noun
clear,noun
clearly,adverb
close,adjective
clothed,adjective
code,noun
coequal,adjective
coercion,noun
cognizance,noun
coin,noun
collect,noun
collected,verb_past
collecting,verb
collection,noun
collective,adjective
colony,noun
color,noun
colorable,adjective
combination,noun
combine,noun
combined,verb_past
come,noun
command,noun
commanded,verb_past
commencement,noun
commensurate,noun
comment,noun
commerce,noun
commercial,adjective
commission,noun
commit,noun
committed,verb_past
commodity,noun
common,adjective
commonly,adverb
commonwealth,adjective
communicated,verb_past
communication,noun
community,noun
compact,noun
comparative,adjective
compare,noun
compared,verb_past
comparison,noun
compass,noun
compelled,verb_past
compensation,noun
competent,noun
competition,noun
complaint,noun
complete,noun
completely,adverb
complexion,noun
compliance,noun
complicated,verb_past
compose,noun
composed,verb_past
composing,verb
composition,noun
compound,noun
comprehend,noun
comprehended,verb_past
comprehending,verb
comprehensive,adjective
comprised,verb_past
compromise,noun
conceded,verb_past
conceive,adjective
conceived,verb_past
concern,noun
concerned,verb_past
concerning,verb
concert,noun
concession,noun
conclude,noun
concluded,verb_past
conclusion,noun
conclusive,adjective
concur,noun
concurrence,noun
concurrent,noun
condemn,noun
condition,noun
conducive,noun
conduct,noun
conducted,verb_past
confederacy,noun
confederate,noun
confederated,verb_past
confederation,noun
confer,noun
conferred,verb_past
conferring,verb
confess,noun
confessed,verb_past
confide,noun
confided,verb_past
confidence,noun
confine,noun
confined,verb_past
confirm,noun
conflict,noun
conformable,adjective
conformity,noun
confusion,noun
congress,noun
conjecture,noun
conjuncture,noun
connect,noun
connected,verb_past
connecticut,noun
connection,noun
conquest,noun
consent,noun
consequence,noun
consequently,adverb
consider,adjective
considerable,adjective
considerate,noun
consideration,noun
considered,verb_past
considering,verb
considers,noun
consist,verb
consistent,adjective
consisting,noun
consists,noun
consolidation,noun
consonant,noun
conspiracy,noun
conspire,noun
constant,noun
constantly,adverb
constituent,noun
constitute,noun
constituted,verb_past
constitutes,noun
constituting,verb
constitution,noun
constitutional,adjective
constitutionally,adverb
construction,noun
construed,verb_past
consul,adjective
consult,noun
consultation,noun
consulted,verb_past
consumption,noun
contain,noun
contained,verb_past
contains,noun
contemplate,verb
contemplated,verb_past
contemplation,noun
contend,noun
contended,verb_past
contending,verb
content,noun
contention,noun
contest,noun
contingency,noun
continual,adjective
continually,adverb
continuance,noun
continue,verb
continued,verb_past
continuing,verb
contract,noun
contracted,verb_past
contradiction,noun
contradictory,noun
contrary,noun
contribute,noun
contribution,noun
contrived,verb_past
control,noun
controlled,verb_past
controversy,noun
convened,verb_past
convenience,noun
convenient,noun
convention,noun
conversant,noun
convey,noun
conveyed,verb_past
conviction,noun
convinced,verb_past
convulsion,noun
cool,noun
corp,noun
correct,noun
correcting,verb
correspond,noun
correspondent,noun
corresponding,verb
corrupt,adjective
corrupted,adjective
corruption,noun
council,noun
counsel,noun
countenance,noun
counteract,noun
counterbalance,noun
country,noun
countryman,noun
county,noun
course,noun
court,noun
create,noun
created,verb_past
creation,noun
credit,noun
criminal,noun
crisis,noun
criterion,noun
critical,adjective
crown,noun
cure,noun
curious,adjective
current,noun
custom,noun
d,noun
daily,adverb
danger,adjective
dangerous,adjective
day,noun
death,noun
debt,noun
deceived,verb_past
decide,adjective
decided,verb_past
decision,noun
decisive,adjective
declamation,noun
declaration,noun
declare,noun
declared,verb_past
declares,noun
declaring,verb
decree,noun
deduction,noun
deemed,verb_past
deep,noun
deeply,adverb
defeat,noun
defeated,verb_past
defect,noun
defective,adjective
defend,noun
defense,noun
defensive,adjective
deficiency,noun
define,noun
defined,verb_past
definition,noun
degenerate,noun
degraded,verb_past
degree,noun
delaware,noun
delay,noun
delegated,verb_past
delegation,noun
deliberate,noun
deliberation,noun
delicate,noun
delineated,verb_past
delinquent,noun
demand,noun
demanded,verb_past
demonstration,noun
denied,verb_past
denomination,noun
deny,noun
departed,verb_past
department,noun
departure,noun
depend,noun
dependence,noun
dependent,noun
depending,verb
depends,noun
depositary,adjective
deprive,adjective
deputy,noun
derive,adjective
derived,verb_past
deriving,verb
descent,noun
described,verb_past
description,noun
desert,noun
deserve,noun
deserves,noun
design,noun
designed,verb_past
desirable,adjective
desire,noun
desired,verb_past
despatch,noun
desperate,noun
despotism,noun
destitute,noun
destroy,noun
destroyed,verb_past
destruction,noun
determinate,noun
determination,noun
determine,noun
determined,verb_past
determining,verb
deviation,noun
devised,verb_past
devotion,noun
dictate,noun
dictated,verb_past
did,verb_past
diet,adjective
difference,noun
different,adjective
difficult,noun
difficulty,noun
diffusive,noun
dignity,noun
dilemma,noun
diminish,noun
diminished,verb_past
diminution,noun
direct,noun
directed,verb_past
direction,noun
directly,adverb
disadvantage,noun
discern,noun
discerning,verb
discernment,noun
discharge,noun
discord,noun
discover,noun
discovered,verb_past
discovery,noun
discretion,noun
discrimination,noun
discussed,verb_past
discussion,noun
disease,noun
disgrace,noun
disgust,noun
disinclined,verb_past
dismemberment,noun
dismission,noun
disorder,noun
display,noun
displayed,verb_past
disposal,noun
disposed,verb_past
disposition,noun
disproportionate,noun
dispute,noun
disputed,verb_past
disquisition,noun
disregard,noun
disregarded,verb_past
dissatisfaction,noun
dissension,noun
dissimilar,noun
dissolution,noun
dissolved,verb_past
distance,noun
distant,noun
distinct,noun
distinction,noun
distinguish,noun
distinguished,verb_past
distress,noun
distribution,noun
district,noun
distrust,noun
disunion,noun
disunited,verb_past
diversity,noun
divide,noun
divided,verb_past
division,noun
doctrine,noun
doe,noun
doing,verb
domestic,adjective
dominion,noun
double,adjective
doubt,noun
doubted,verb_past
doubtful,adjective
doubtless,noun
dozen,noun
draw,noun
drawn,verb_past
dread,noun
dreaded,verb_past
duly,adverb
duration,noun
duty,noun
dwell,noun
early,adverb
easily,adverb
easy,adjective
economy,noun
effect,noun
effected,verb_past
effectual,adjective
effectually,adverb
efficacious,adjective
efficacy,noun
efficient,noun
effort,noun
elect,noun
elected,verb_past
election,noun
elective,noun
elector,noun
elevated,verb_past
eligible,adjective
embarrass,noun
embarrassment,noun
embrace,noun
emergency,noun
eminence,noun
emolument,noun
emphatically,adverb
empire,noun
employ,noun
employed,verb_past
employing,verb
employment,noun
enable,adjective
enact,noun
encouragement,noun
encroachment,noun
end,noun
endeavor,noun
endeavored,verb_past
enemy,noun
energy,noun
enforce,noun
enforced,verb_past
engaged,verb_past
engagement,noun
engine,noun
england,noun
english,noun
enjoy,noun
enjoyed,verb_past
enjoys,noun
enlarge,verb
enlarged,verb_past
enlightened,verb_past
enmity,noun
enormous,adjective
enter,noun
entered,verb_past
enterprise,noun
enterprising,verb
entertain,noun
entertained,verb_past
enthusiasm,noun
entire,noun
entirely,adverb
entitled,verb_past
enumerated,verb_past
enumeration,noun
equal,adjective
equality,noun
equally,adverb
equilibrium,noun
equitable,adjective
equity,noun
equivalent,noun
erect,verb
erected,verb_past
erroneous,adjective
error,noun
escape,noun
escaped,verb_past
especially,adverb
essential,adjective
essentially,adverb
establish,adjective
established,adjective
establishes,noun
establishing,verb
establishment,noun
estate,noun
esteem,noun
estimate,noun
europe,noun
european,noun
evasion,noun
event,noun
evidence,noun
evident,noun
evidently,adverb
evil,adjective
exact,adjective
exactly,adverb
exaggerated,verb_past
examination,noun
examine,noun
examined,verb_past
example,noun
exceed,verb_past
exceeded,verb_past
excellence,noun
excellent,noun
excepted,verb_past
exception,noun
exceptionable,adjective
excess,noun
excise,noun
excite,noun
excited,verb_past
excluded,verb_past
excludes,noun
excluding,verb
exclusion,noun
exclusive,adjective
exclusively,adverb
execute,adjective
executed,verb_past
executing,verb
execution,noun
executive,noun
exemplified,verb_past
exempt,adjective
exemption,noun
exercise,noun
exercised,verb_past
exercising,verb
exert,noun
exerted,verb_past
exertion,noun
exhausted,verb_past
exhibit,noun
exhibited,verb_past
exigency,noun
exist,noun
existence,noun
existing,verb
exists,noun
expect,verb
expectation,noun
expected,verb_past
expediency,noun
expedient,noun
expense,noun
experience,noun
experienced,verb_past
experiment,noun
explain,noun
explained,verb_past
explanation,noun
export,noun
expose,noun
exposed,verb_past
express,noun
