Word,POS
abandon,noun
abandoned,verb_past
abiding,verb
ability,noun
able,adjective
aboriginal,adjective
abroad,noun
absence,noun
absolute,noun
abundance,noun
abundant,noun
abuse,noun
accept,noun
acceptance,noun
accepted,verb_past
accomplish,adjective
accomplished,verb_past
accomplishment,noun
accord,noun
accordance,noun
according,verb
account,noun
accountability,noun
achieve,noun
achieved,verb_past
achievement,noun
acknowledge,noun
acknowledged,verb_past
acquiescence,noun
acquisition,noun
act,noun
acted,verb_past
acting,verb
action,noun
active,adjective
activity,noun
actual,adjective
adapted,verb_past
add,noun
added,verb_past
addition,noun
additional,adjective
address,noun
adequate,noun
adherence,noun
adjust,noun
adjustment,noun
administer,noun
administered,verb_past
administration,noun
administrative,adjective
admission,noun
admit,noun
admitted,verb_past
admonition,noun
adopt,noun
adopted,verb_past
adoption,noun
advance,noun
advanced,verb_past
advancement,noun
advancing,verb
advantage,noun
adversary,noun
affair,noun
affect,noun
affected,verb_past
affecting,verb
affection,noun
afford,noun
afforded,verb_past
age,noun
agency,noun
agent,noun
aggression,noun
agitation,noun
ago,adverb
agree,verb
agreement,noun
agricultural,adjective
agriculture,noun
ahead,adverb
aid,verb_past
aided,verb_past
aim,noun
air,noun
alien,noun
alike,preposition
alliance,noun
allow,noun
allowed,verb_past
ally,adverb
almighty,noun
altogether,adverb
ambition,noun
amendment,noun
america,noun
american,noun
amidst,noun
amity,noun
ample,noun
ancestor,noun
ancient,noun
anew,noun
angel,noun
animosity,noun
anniversary,noun
announce,noun
answer,noun
anticipated,verb_past
anxiety,noun
anxious,adjective
appeal,noun
appear,noun
application,noun
applied,verb_past
apply,adverb
appoint,adjective
appointed,verb_past
appointment,noun
apprehension,noun
approach,noun
approaching,verb
approbation,noun
appropriate,noun
approval,noun
approved,verb_past
arbitration,noun
ardent,noun
arduous,adjective
area,noun
argument,noun
arise,noun
arisen,noun
arm,noun
armament,noun
armed,verb_past
army,noun
arrangement,noun
arrest,noun
art,noun
article,noun
aside,noun
ask,noun
asked,verb_past
aspiration,noun
assembled,verb_past
assembly,adverb
assert,verb
assigned,verb_past
assist,noun
assistance,noun
associated,verb_past
association,noun
assume,noun
assumed,verb_past
assurance,noun
assure,noun
assured,verb_past
atlantic,adjective
attachment,noun
attack,noun
attain,noun
attained,verb_past
attainment,noun
attempt,noun
attention,noun
attitude,noun
author,noun
authority,noun
authorized,verb_past
auxiliary,adjective
avail,noun
available,adjective
avoid,noun
await,noun
awaits,verb
away,adverb
awful,adjective
bad,adjective
balance,noun
bank,noun
banking,noun
barrier,noun
based,verb_past
basic,adjective
basis,noun
battle,noun
bear,noun
bearing,verb
beautiful,adjective
beauty,noun
began,verb_past
begin,noun
beginning,noun
begun,noun
behalf,noun
belief,noun
believe,verb
believed,verb_past
belong,adjective
belongs,noun
beloved,verb_past
benediction,noun
beneficent,noun
beneficial,adjective
benefit,noun
benign,noun
best,adjective
bestowed,verb_past
better,adjective
big,adjective
bind,noun
birth,noun
bitter,noun
bless,noun
blessed,verb_past
blessing,verb
blood,noun
body,noun
bold,noun
boldly,adverb
bond,noun
border,noun
born,noun
borne,noun
bound,noun
boundary,noun
bounty,noun
branch,noun
brave,noun
break,noun
brief,noun
briefly,adverb
bright,adjective
bring,noun
brings,noun
british,adjective
broad,adjective
brother,noun
brotherhood,noun
brought,verb_past
build,noun
building,noun
built,verb_past
bulwark,noun
burden,noun
bush,noun
business,noun
calculated,verb_past
called,verb_past
calling,noun
calm,noun
came,verb_past
canal,adjective
candid,noun
candor,noun
capable,adjective
capacity,noun
capital,noun
care,noun
career,noun
careful,noun
carefully,adverb
carried,verb_past
carry,noun
carrying,noun
case,noun
cast,noun
cause,noun
cease,noun
celebrate,noun
center,noun
central,adjective
century,noun
ceremony,noun
certain,adjective
certainly,adverb
chain,noun
challenge,noun
chance,noun
change,noun
changed,verb_past
channel,noun
character,noun
charge,noun
charged,verb_past
charity,noun
charter,noun
check,noun
cheerfully,adverb
cherish,adjective
cherished,adjective
chief,noun
child,noun
choice,noun
choose,noun
chosen,noun
church,noun
circle,noun
circumstance,noun
citizen,noun
citizenship,noun
city,noun
civil,noun
civilization,noun
civilized,verb_past
claim,noun
class,noun
clear,noun
clearly,adverb
climate,adjective
close,noun
coast,noun
cold,verb_past
collect,noun
collected,verb_past
colored,verb_past
combination,noun
come,noun
comfort,noun
coming,verb
command,noun
commence,noun
commencement,noun
commerce,noun
commercial,adjective
commission,noun
commitment,noun
committed,verb_past
common,adjective
communication,noun
communism,noun
community,noun
compact,noun
compassion,noun
compensation,noun
competent,noun
competition,noun
complete,noun
completed,verb_past
complex,adjective
compliance,noun
compromise,noun
conception,noun
concern,noun
concerned,verb_past
concerning,verb
concession,noun
conclusion,noun
conclusive,noun
condition,noun
conduct,noun
conducted,verb_past
confederacy,noun
confederation,noun
conferred,verb_past
confidence,noun
confident,noun
confidently,adverb
conflict,adjective
conflicting,noun
conformity,noun
confront,noun
congress,noun
connected,verb_past
conquered,verb_past
conquest,noun
conscience,noun
conscientious,adjective
conscious,adjective
consciousness,noun
consent,noun
consequence,noun
consequent,noun
consider,noun
consideration,noun
considered,verb_past
consistent,noun
constant,noun
constantly,adverb
constituent,noun
constitute,noun
constituted,verb_past
constitution,noun
constitutional,adjective
construction,noun
consummation,noun
contemplate,noun
content,noun
contest,noun
continent,noun
continuance,noun
continue,noun
continued,verb_past
continues,noun
continuing,verb
contrary,adjective
contribute,noun
contributed,verb_past
contribution,noun
control,noun
controlled,verb_past
controversy,noun
convenience,noun
convention,noun
conviction,noun
convinced,verb_past
cooperation,noun
coordinate,noun
cordial,adjective
corporation,noun
correct,noun
corrected,verb_past
corresponding,verb
cost,noun
council,noun
counsel,noun
count,noun
country,noun
countryman,noun
courage,noun
course,noun
court,noun
covenant,noun
create,noun
created,verb_past
creating,verb
creation,noun
credit,noun
creed,noun
crime,noun
crisis,noun
cross,noun
cultivate,noun
culture,noun
currency,noun
current,noun
custom,noun
cut,verb_past
daily,adjective
danger,noun
dangerous,adjective
dare,noun
dark,noun
darkness,noun
day,noun
dealing,verb
dear,noun
death,noun
debate,noun
debt,noun
decade,noun
decency,noun
decent,noun
decide,noun
decided,verb_past
decision,noun
decisive,adjective
declaration,noun
declare,noun
declared,verb_past
decline,noun
dedication,noun
deem,noun
deemed,verb_past
deep,noun
deeper,noun
deepest,noun
deeply,adverb
defeat,noun
defect,noun
defend,noun
defending,verb
defense,noun
deficiency,noun
deficit,noun
define,noun
definite,noun
definition,noun
degree,noun
delay,noun
delayed,verb_past
deliberate,adjective
deliberation,noun
delicate,noun
demand,noun
demanded,verb_past
democracy,noun
democratic,adjective
demonstrated,verb_past
denied,adjective
deny,noun
department,noun
departure,noun
depend,noun
depends,noun
depression,noun
derive,adjective
derived,verb_past
deserve,noun
deserving,noun
desirable,adjective
desire,noun
despair,noun
despotism,noun
destined,verb_past
destiny,noun
destroy,noun
destruction,noun
destructive,noun
determination,noun
determine,noun
determined,verb_past
developed,verb_past
developing,verb
development,noun
devised,verb_past
devote,noun
devoted,verb_past
devotion,noun
dictate,noun
did,verb_past
difference,noun
different,noun
differing,verb
difficult,noun
difficulty,noun
dignity,noun
diplomacy,noun
direct,noun
directed,verb_past
direction,noun
directly,adverb
disaster,adjective
discharge,noun
discipline,noun
discord,noun
discretion,noun
discrimination,noun
discussion,noun
disease,noun
displayed,verb_past
disposition,noun
dispute,noun
disregard,noun
dissolution,noun
distance,noun
distant,noun
distinct,noun
distinction,noun
distinguished,verb_past
distress,noun
distrust,noun
disturb,noun
disturbed,verb_past
diversity,noun
divide,noun
divided,verb_past
divine,noun
division,noun
doe,noun
doing,verb
domain,noun
domestic,adjective
dominion,noun
door,noun
doubt,noun
drawn,verb_past
dread,noun
dream,noun
duration,noun
duty,noun
dying,verb
early,adverb
earnest,adjective
earnestly,adverb
earth,adjective
ease,noun
easily,adverb
east,adjective
eastern,noun
easy,adjective
economic,adjective
economy,noun
education,noun
effect,noun
effected,verb_past
effective,adjective
efficiency,noun
efficient,noun
effort,noun
elected,verb_past
election,noun
element,noun
embarrassment,noun
embrace,noun
emergency,noun
eminent,noun
employed,verb_past
employment,noun
enable,adjective
enabled,verb_past
enacted,verb_past
encourage,noun
encouraged,verb_past
encouragement,noun
encouraging,verb
end,noun
endanger,noun
endeavor,noun
ended,verb_past
endowed,verb_past
endure,noun
enduring,noun
enemy,noun
energy,noun
enforce,noun
enforced,verb_past
enforcement,noun
engage,noun
engaged,verb_past
engagement,noun
enjoy,noun
enjoyed,verb_past
enjoyment,noun
enlarge,noun
enlarged,verb_past
enlightened,verb_past
ensure,noun
enter,noun
entered,verb_past
entering,verb
enterprise,noun
entertain,noun
entertained,verb_past
entire,adjective
entirely,adverb
entitled,verb_past
environment,noun
equal,adjective
equality,noun
equally,adverb
equitable,adjective
era,noun
error,noun
escape,noun
especially,adverb
essential,adjective
establish,noun
established,verb_past
establishment,noun
estimate,noun
eternal,adjective
europe,noun
european,adjective
event,noun
evidence,noun
evil,noun
exact,noun
exalted,verb_past
example,noun
exception,noun
exchange,noun
excited,verb_past
excitement,noun
exclusively,adverb
execute,adjective
executed,verb_past
execution,noun
executive,noun
exercise,noun
exercised,verb_past
exert,noun
exertion,noun
exhibit,noun
exhibited,verb_past
exist,noun
existed,verb_past
existence,noun
existing,verb
exists,noun
expansion,noun
expect,verb
expectation,noun
expected,verb_past
expedient,noun
expenditure,noun
expense,noun
experience,noun
experienced,verb_past
experiment,noun
express,noun
expressed,verb_past
expressing,verb
expression,noun
expressly,adverb
extend,verb
extended,verb_past
extending,verb
extension,noun
extent,noun
extraordinary,noun
extravagance,noun
eye,noun
fabric,noun
face,noun
facility,noun
facing,verb
fact,noun
factory,noun
faculty,noun
fail,noun
failed,verb_past
failure,noun
fair,noun
fairly,adverb
fairness,noun
faith,preposition
faithful,adjective
faithfully,adverb
fall,noun
fallen,verb_past
false,noun
family,noun
far,adverb
farm,noun
farmer,noun
fate,noun
father,noun
fault,noun
favor,noun
favorable,adjective
favored,verb_past
fear,noun
fearful,adjective
fearless,noun
feature,noun
federal,adjective
feed,noun
feel,noun
feeling,verb
fellow,adjective
felt,noun
fervent,noun
fervently,adverb
fidelity,noun
field,noun
fifty,noun
fight,noun
filled,verb_past
final,adjective
finally,adverb
finance,noun
financial,adjective
firm,noun
firmness,noun
fitness,noun
fitting,verb
fixed,verb_past
flag,noun
flow,noun
foe,noun
follow,noun
followed,verb_past
following,verb
forbearance,noun
force,noun
forced,verb_past
forefather,adverb
foreign,adjective
forever,noun
forget,noun
forgotten,noun
form,noun
formation,noun
formed,verb_past
formidable,adjective
forth,noun
fortunate,noun
fortunately,adverb
fortune,noun
forward,adverb
foster,adjective
fought,noun
foundation,noun
founded,verb_past
founder,noun
founding,noun
framed,verb_past
fraternal,adjective
free,adjective
freedom,noun
freely,adverb
freeman,noun
friend,noun
friendly,adverb
friendship,noun
frontier,noun
fruit,noun
fruitful,noun
fulfill,noun
fulfilled,verb_past
fulfillment,noun
fullness,noun
fully,adverb
function,noun
fund,noun
fundamental,noun
furnish,noun
future,noun
gain,noun
gained,verb_past
gather,noun
gave,verb_past
general,adjective
generally,adverb
generation,noun
generosity,noun
generous,adjective
genius,noun
geographical,adjective
gift,noun
given,verb_past
giving,verb
globe,noun
glory,noun
goal,noun
god,noun
gold,noun
gone,noun
good,adjective
goodness,noun
govern,noun
governed,verb_past
governing,verb
government,noun
governmental,noun
gracious,adjective
grand,noun
grant,noun
granted,verb_past
grateful,adjective
gratifying,noun
gratitude,noun
grave,noun
great,noun
greater,noun
greatest,noun
greatly,adverb
greatness,noun
ground,noun
group,noun
grow,noun
